id,int(11),NO,
city,varchar(255),YES,Nearest city to site.
state,varchar(255),YES,If in the United States\, state in which study is conducted.
country,varchar(255),YES,
lat,decimal(9\,6),YES,Latitude\, in decimal degrees
lon,decimal(9\,6),YES,Longitude\, in decimal degrees.
mat,int(11),YES,Mean Annual Temperature (C)
map,int(11),YES,Mean Annual Precipitation (mm)
masl,int(11),YES,Elevation (m above sea level)
soil,varchar(255),YES,Soil type\, as described in documentation.
som,decimal(4\,2),YES,Depreciated
notes,text,YES,
soilnotes,text,YES,
created_at,datetime,YES,
updated_at,datetime,YES,
sitename,varchar(255),YES,
greenhouse,tinyint(1),YES,Boolean: indicates if study was conducted in a field (0) or greenhouse\, pot\, or growth chamber (1)
user_id,int(11),YES,
local_time,int(11),YES,
sand_pct,decimal(9\,5),YES,
clay_pct,decimal(9\,5),YES,
espg,varchar(255),YES,
